,date_0days,cases_0days,deaths_0days,fips,date_60days,cases_60days,deaths_60days,date_70days,cases_70days,deaths_70days,date_80days,cases_80days,deaths_80days,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in
159,2020-03-06,1,0,45019,2020-05-05,463.0,8.0,2020-05-15,501.0,10.0,2020-05-25,561.0,11.0,221,387847,82073,160740,21435,81036
162,2020-03-06,1,0,53053,2020-05-05,1558.0,54.0,2020-05-15,1772.0,66.0,2020-05-25,1880.0,74.0,189,845193,157501,263500,109312,63098
165,2020-03-06,1,0,27123,2020-05-05,583.0,37.0,2020-05-15,1287.0,61.0,2020-05-25,2437.0,97.0,135,537893,102817,143064,118682,180547
168,2020-03-06,1,0,53031,2020-05-05,28.0,0.0,2020-05-15,29.0,0.0,2020-05-25,30.0,0.0,6,30524,13626,9318,1783,1326
171,2020-03-06,1,0,53011,2020-05-05,368.0,22.0,2020-05-15,401.0,25.0,2020-05-25,427.0,25.0,90,457474,92850,129918,67262,21720
174,2020-03-06,1,0,49053,2020-05-05,85.0,0.0,2020-05-15,165.0,0.0,2020-05-25,274.0,0.0,32,155577,40002,53020,3587,2954
177,2020-03-06,1,0,49011,2020-05-05,302.0,2.0,2020-05-15,354.0,2.0,2020-05-25,414.0,2.0,22,334977,45623,79324,68831,34746
180,2020-03-06,1,0,45055,2020-05-05,247.0,10.0,2020-05-15,261.0,12.0,2020-05-25,300.0,14.0,10,63734,15574,13630,12433,5901
183,2020-03-06,1,0,4021,2020-05-05,478.0,15.0,2020-05-15,670.0,28.0,2020-05-25,764.0,37.0,22,405537,100086,66064,65672,17022
186,2020-03-06,1,0,6113,2020-05-05,172.0,19.0,2020-05-15,182.0,22.0,2020-05-25,198.0,22.0,14,212605,34981,57362,32756,46807
189,2020-03-06,2,0,8031,2020-05-05,3546.0,188.0,2020-05-15,4452.0,248.0,2020-05-25,5216.0,298.0,227,678467,109403,210947,132233,280068
192,2020-03-06,1,0,21067,2020-05-05,298.0,9.0,2020-05-15,532.0,12.0,2020-05-25,619.0,13.0,260,315109,55235,130876,23461,53687
195,2020-03-06,1,0,18097,2020-05-05,6469.0,398.0,2020-05-15,8082.0,500.0,2020-05-25,9287.0,571.0,526,939964,160942,349286,79876,205245
198,2020-03-06,1,0,13233,2020-05-05,61.0,0.0,2020-05-15,78.0,0.0,2020-05-25,97.0,0.0,0,41444,8705,9288,6548,3535
201,2020-03-06,1,0,15003,2020-05-05,404.0,11.0,2020-05-15,414.0,11.0,2020-05-25,414.0,11.0,148,990060,218287,481909,3507,4773
204,2020-03-06,1,1,12071,2020-05-05,1159.0,49.0,2020-05-15,1384.0,74.0,2020-05-25,1735.0,93.0,141,700165,239488,225044,33214,18353
207,2020-03-06,2,0,12011,2020-05-05,5492.0,215.0,2020-05-15,6133.0,272.0,2020-05-25,6760.0,298.0,587,1890416,406732,668801,204778,129438
210,2020-03-06,1,0,8037,2020-05-05,547.0,7.0,2020-05-15,566.0,8.0,2020-05-25,577.0,8.0,5,53726,8107,26068,5064,3654
213,2020-03-06,1,0,8041,2020-05-05,1028.0,78.0,2020-05-15,1251.0,83.0,2020-05-25,1535.0,89.0,95,674826,116223,294394,17796,17830
216,2020-03-07,2,0,36091,2020-05-06,371.0,3.0,2020-05-16,423.0,3.0,2020-05-26,463.0,4.0,19,226632,52232,61985,51176,24432
219,2020-03-07,1,0,41035,2020-05-06,39.0,0.0,2020-05-16,41.0,0.0,2020-05-26,41.0,0.0,0,66018,18095,23764,1658,911
222,2020-03-07,2,0,41029,2020-05-06,49.0,0.0,2020-05-16,50.0,0.0,2020-05-26,60.0,0.0,50,212070,60113,81318,4002,4806
225,2020-03-07,1,0,33015,2020-05-06,903.0,43.0,2020-05-16,1095.0,60.0,2020-05-26,1240.0,67.0,43,302479,69798,88226,74176,58826
228,2020-03-07,1,0,29189,2020-05-06,3539.0,204.0,2020-05-16,4106.0,329.0,2020-05-26,4583.0,387.0,468,999539,235062,343934,139112,234558
231,2020-03-07,2,0,42091,2020-05-06,4827.0,471.0,2020-05-16,5797.0,614.0,2020-05-26,6598.0,635.0,215,818677,190034,261962,148959,213123
234,2020-03-07,1,0,53037,2020-05-06,15.0,0.0,2020-05-16,51.0,0.0,2020-05-26,75.0,0.0,6,43726,9312,16359,2949,1288
237,2020-03-07,1,0,51059,2020-05-06,4834.0,201.0,2020-05-16,7386.0,278.0,2020-05-26,9839.0,340.0,178,1142004,205097,324518,278265,289947
240,2020-03-07,1,0,50003,2020-05-06,53.0,1.0,2020-05-16,60.0,1.0,2020-05-26,62.0,1.0,10,36054,10413,14897,1709,4494
243,2020-03-07,1,0,25003,2020-05-06,461.0,37.0,2020-05-16,495.0,37.0,2020-05-26,537.0,39.0,24,127751,37339,57613,4495,5606
246,2020-03-07,1,0,6087,2020-05-06,138.0,2.0,2020-05-16,149.0,3.0,2020-05-26,200.0,3.0,22,273263,57232,99105,29040,18034
249,2020-03-07,1,0,6065,2020-05-06,4672.0,190.0,2020-05-16,5618.0,255.0,2020-05-26,7139.0,309.0,351,2355002,437180,622846,275801,104732
252,2020-03-07,1,0,6039,2020-05-06,55.0,2.0,2020-05-16,71.0,2.0,2020-05-26,90.0,2.0,10,154440,28392,30551,13657,13802
255,2020-03-07,1,0,6019,2020-05-06,777.0,9.0,2020-05-16,1192.0,16.0,2020-05-26,1535.0,26.0,164,971616,157757,328935,31408,32321
258,2020-03-07,1,0,20091,2020-05-06,521.0,45.0,2020-05-16,648.0,56.0,2020-05-26,765.0,61.0,110,578797,110038,207529,89627,110002
261,2020-03-07,1,0,13135,2020-05-06,2222.0,81.0,2020-05-16,2597.0,102.0,2020-05-26,3307.0,125.0,82,889954,122430,235117,165900,119359
264,2020-03-07,1,0,13067,2020-05-06,1998.0,107.0,2020-05-16,2407.0,132.0,2020-05-26,2854.0,150.0,119,739072,120689,206626,154218,133345
267,2020-03-07,1,0,12127,2020-05-06,526.0,27.0,2020-05-16,591.0,30.0,2020-05-26,680.0,37.0,148,518660,160876,156522,39807,18643
270,2020-03-07,1,0,12091,2020-05-06,161.0,5.0,2020-05-16,176.0,5.0,2020-05-26,193.0,6.0,57,197591,41694,81035,10334,19014
