,cases_70days,icu_beds,commuting_in,commuting_out,density,percent_democrat,percent_in_poverty,pop_over65,median_age,percent_with_bachelors,median_income,pop_2019
474,82,5,5531,8284,67.244018547,0.220208845209,9.9,6754,41.9,16.5,57709,39859
475,1338,10,5531,9533,77.914576302,0.414312120412,16.2,13552,42.9,23.2,51985,75432
476,67,67,7544,6031,83.859255658,0.555011266237,18.1,67440,39.4,29.6,53161,382067
477,282,27,26862,46779,1003.8327763,0.399468037947,7.5,43492,43.7,27.9,65883,230149
478,29,0,1088,3594,28.81316326,0.211314213678,14.7,3060,41.9,16.1,46949,16376
479,1347,67,29182,28166,555.73386662,0.498001364922,16.5,46245,43.5,24.1,48010,228683
480,528,274,144093,85242,1162.931543,0.5567616463139999,13.0,98843,36.7,30.9,55864,703011
481,476,8,27509,53064,786.03485862,0.356179529705,5.7,19582,34.4,40.1,79358,187196
482,9,0,454,1044,7.5168493371,0.176065008619,13.4,2043,46.9,21.7,47906,8332
483,2103,14,40948,75338,905.76706199,0.479485215481,7.6,43423,40.3,31.9,81315,291636
484,60,25,18630,5019,196.00416998,0.292718928639,8.9,11811,38.5,32.9,62817,76745
485,123,110,14188,8973,263.23792216,0.492990205493,16.8,20163,30.8,46.0,55136,180463
486,570,20,14237,34187,377.09710119,0.382420669062,11.2,34142,45.1,23.7,54823,163929
487,466,12,23281,43766,243.25640923,0.45519843615,11.1,25539,39.9,30.1,71084,158714
488,95,21,2883,3332,77.556663383,0.473817746141,13.2,12853,39.3,22.9,55517,80485
489,24,6,892,937,14.858065134,0.699973460722,21.4,7976,48.2,28.0,38405,32723
490,1136,20,15098,30372,295.24915188,0.35074934973800004,6.7,18236,44.0,31.8,77571,105267
491,649,0,12415,17143,76.693229865,0.380829770696,13.4,7860,30.0,17.3,60483,95222
493,1546,53,81929,75006,1415.7121477,0.577991677266,9.0,47493,38.5,42.9,68581,330818
494,93,0,9551,7375,84.641503328,0.350610193826,6.7,4686,48.3,39.2,89331,23753
496,2,4,1284,1091,4.2072108313,0.173226732267,10.2,6236,44.4,32.1,58873,29194
497,183,15,4906,2164,37.045810193,0.289698335211,9.1,14718,36.9,28.7,63839,99500
498,1008,27,16754,35639,623.74150741,0.471744147709,12.0,22280,38.2,25.7,65013,169561
499,296,48,15030,17891,198.69615004,0.28784779500700003,17.9,21359,38.8,20.8,51771,143617
500,34,6,3967,9263,69.582170877,0.427557892462,13.7,13868,45.6,18.0,58239,66768
501,161,5,6909,14615,273.03969604,0.393968425876,9.7,8477,40.7,30.8,75027,57146
502,352,24,25830,45082,412.7959259,0.363500110205,9.8,35425,38.5,32.0,64904,280979
503,1386,211,75200,37877,548.98298233,0.639911452184,16.7,48691,33.2,37.7,52611,415759
504,10,0,1252,4456,38.181620933000005,0.472527472527,18.4,3182,46.0,19.2,45385,14553
505,674,267,9143,7920,346.77211360000007,0.285090760759,17.6,36090,30.7,29.1,50377,310569
506,289,18,12728,35338,197.53540232,0.256834327033,8.8,20837,36.1,23.1,76792,184826
507,444,48,11912,7969,391.05281168,0.34891574292800004,23.2,18907,26.2,40.8,50113,229211
508,399,159,9746,18133,593.05632145,0.380244769149,11.0,133083,47.2,29.3,57612,601942
509,4132,38,13495,21284,250.20481554,0.371680495965,12.3,57228,49.0,26.5,59821,234225
510,553,264,56855,15991,624.41570879,0.6498425659089999,21.9,26601,33.9,21.3,40168,202518
511,891,145,25928,49657,403.20522157,0.412862719675,15.7,133538,40.3,20.0,51354,724777
512,1550,12,3636,2805,11.148081274,0.43384450281,28.5,18351,36.4,15.8,40650,110924
514,106,6,6478,23213,141.72690747,0.146295173577,12.0,13891,40.3,16.5,57284,89512
515,309,100,43165,9554,465.21086205,0.391508280399,11.9,51308,38.5,41.7,63755,372909
516,237,57,24161,12477,362.73502365,0.333123912623,20.0,28457,36.0,22.3,45355,208080
517,1890,144,21087,18316,110.6947351,0.397202893558,20.5,92005,31.5,16.1,51586,900202
