fips,county_name,total_population,pop_under18,pop_over65,median_age
39049,"Franklin County, Ohio",1275333,299072,146002,34
39051,"Fulton County, Ohio",42305,10131,7070,40.8
39053,"Gallia County, Ohio",30195,6916,5450,40.6
39055,"Geauga County, Ohio",93961,22073,17977,44.6
39057,"Greene County, Ohio",165811,34242,27076,38.1
39059,"Guernsey County, Ohio",39274,8775,7326,42.5
39061,"Hamilton County, Ohio",812037,187979,119690,36.8
39063,"Hancock County, Ohio",75690,17000,12284,39.2
39065,"Hardin County, Ohio",31542,7371,4805,35.5
39067,"Harrison County, Ohio",15307,3222,3118,46
39069,"Henry County, Ohio",27316,6440,4811,41.3
39071,"Highland County, Ohio",43007,10437,7573,40.4
39073,"Hocking County, Ohio",28495,6366,5219,42.9
39075,"Holmes County, Ohio",43859,14127,5699,31.3
39077,"Huron County, Ohio",58457,14277,9536,39.6
39079,"Jackson County, Ohio",32524,7883,5326,40.1
39081,"Jefferson County, Ohio",66886,12959,13770,44.8
39083,"Knox County, Ohio",61215,14028,10538,38.9
39085,"Lake County, Ohio",230052,47244,43492,43.7
39087,"Lawrence County, Ohio",60622,13465,11025,41.6
39089,"Licking County, Ohio",172293,40368,27141,39.7
39091,"Logan County, Ohio",45307,10690,7712,40.8
39093,"Lorain County, Ohio",306713,68799,53050,41.8
39095,"Lucas County, Ohio",432379,100005,66474,37.9
39097,"Madison County, Ohio",43988,9149,6541,40.7
39099,"Mahoning County, Ohio",231064,46852,46245,43.5
39101,"Marion County, Ohio",65344,13719,11160,41.3
39103,"Medina County, Ohio",177257,40656,29672,41.9
39105,"Meigs County, Ohio",23160,5026,4389,43.6
39107,"Mercer County, Ohio",40806,10482,6923,39.9
39109,"Miami County, Ohio",104800,24304,18836,41.6
39111,"Monroe County, Ohio",14090,2943,3204,46.3
39113,"Montgomery County, Ohio",532034,118680,91990,39.3
39115,"Morgan County, Ohio",14702,3147,2921,44.3
39117,"Morrow County, Ohio",34976,8329,5627,41.7
39119,"Muskingum County, Ohio",86076,19827,14685,40.2
39121,"Noble County, Ohio",14443,2658,3737,49.7
39123,"Ottawa County, Ohio",40709,7772,9598,49
39125,"Paulding County, Ohio",18872,4475,3368,42
39127,"Perry County, Ohio",35985,8569,5716,39.9
39129,"Pickaway County, Ohio",57420,12539,8681,39.4
39131,"Pike County, Ohio",28214,6626,4896,40.8
