,date_0days,cases_0days,deaths_0days,date_70days,cases_70days,deaths_70days,fips,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019,percent_democrat,percent_gop,percent_in_poverty
66,2020-03-06,1,0,2020-05-15,414,11,15003,148,990060,218287,481909,3507,4773,1622.7267286,974563,0.614786319102,0.316070609732,7.7
67,2020-03-06,1,0,2020-05-15,78,0,13233,0,41444,8705,9288,6548,3535,137.31381163,42613,0.202217827377,0.777369684984,21.8
68,2020-03-06,1,1,2020-05-15,1384,74,12071,141,700165,239488,225044,33214,18353,986.07766533,770577,0.382830412803,0.586687415783,12.1
69,2020-03-06,2,0,2020-05-15,6133,272,12011,587,1890416,406732,668801,204778,129438,1623.499921,1952778,0.6647197440079999,0.314182517315,12.6
70,2020-03-06,1,0,2020-05-15,1251,83,8041,95,674826,116223,294394,17796,17830,338.71841276,720403,0.33774694914700004,0.563425510657,9.9
71,2020-03-06,1,0,2020-05-15,566,8,8037,5,53726,8107,26068,5064,3654,32.726608698,55127,0.559550661183,0.360576710451,6.7
72,2020-03-07,1,0,2020-05-16,41,0,41035,0,66018,18095,23764,1658,911,11.482571274000001,68238,0.242134062927,0.689808481532,18.5
73,2020-03-07,2,0,2020-05-16,423,3,36091,19,226632,52232,61985,51176,24432,283.78298772,229863,0.44717501369,0.490810748494,6.3
74,2020-03-07,2,0,2020-05-16,50,0,41029,50,212070,60113,81318,4002,4806,79.383302602,220944,0.419601306497,0.51145111717,14.8
75,2020-03-07,1,0,2020-05-16,1095,60,33015,43,302479,69798,88226,74176,58826,445.46308918,309769,0.446881372029,0.5052763889280001,5.3
76,2020-03-07,1,0,2020-05-16,4106,329,29189,468,999539,235062,343934,139112,234558,1959.2565868,994205,0.5578349649350001,0.395399737434,10.5
77,2020-03-07,1,0,2020-05-16,51,0,53037,6,43726,9312,16359,2949,1288,20.865716698,47935,0.392167557543,0.536980473437,15.8
78,2020-03-07,1,0,2020-05-16,7386,278,51059,178,1142004,205097,324518,278265,289947,2934.8116361,1147532,0.652997653162,0.290751909339,6.1
79,2020-03-07,1,0,2020-05-16,60,1,50003,10,36054,10413,14897,1709,4494,52.548430542,35470,0.583603548486,0.362496176201,11.4
80,2020-03-07,2,0,2020-05-16,5797,614,42091,215,818677,190034,261962,148959,213123,1720.4403096,830915,0.58729698308,0.376157047316,5.9
81,2020-03-07,1,0,2020-05-16,149,3,6087,22,273263,57232,99105,29040,18034,613.82863485,273213,0.7504691257960001,0.177589442247,12.2
82,2020-03-07,1,0,2020-05-16,5618,255,6065,351,2355002,437180,622846,275801,104732,342.703209,2470546,0.496107441063,0.452762678244,12.7
83,2020-03-07,1,0,2020-05-16,71,2,6039,10,154440,28392,30551,13657,13802,73.62298192,157327,0.38767766979,0.5609841520009999,20.2
84,2020-03-07,1,0,2020-05-16,1192,16,6019,164,971616,157757,328935,31408,32321,167.6799017,999101,0.494118211169,0.455315187162,21.3
85,2020-03-07,1,0,2020-05-16,495,37,25003,24,127751,37339,57613,4495,5606,134.8010402,124944,0.674965507619,0.260421349621,11.3
86,2020-03-07,1,0,2020-05-16,648,56,20091,110,578797,110038,207529,89627,110002,1271.9107791,602401,0.451555479298,0.478661533567,5.5
87,2020-03-07,1,0,2020-05-16,2597,102,13135,82,889954,122430,235117,165900,119359,2174.1752753,936250,0.509562221584,0.452142585921,9.2
88,2020-03-07,1,0,2020-05-16,2407,132,13067,119,739072,120689,206626,154218,133345,2237.0896015,760141,0.488370953116,0.46749626253,9.1
89,2020-03-07,1,0,2020-05-16,591,30,12127,148,518660,160876,156522,39807,18643,502.41804154,553284,0.417945940132,0.548447200197,13.2
90,2020-03-07,1,0,2020-05-16,176,5,12091,57,197591,41694,81035,10334,19014,226.54514971,210738,0.235562355326,0.7131943133609999,12.7
91,2020-03-07,1,0,2020-05-16,370,41,12015,51,173236,81236,39077,16049,9928,277.35736469,188910,0.3469680138699999,0.624939007298,11.1
