,date_0days,cases_0days,deaths_0days,fips,date_60days,cases_60days,deaths_60days,date_70days,cases_70days,deaths_70days,date_80days,cases_80days,deaths_80days,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019,percent_democrat,percent_gop,percent_in_poverty,pop_under18,pop_over65,pop_2018,median_age
3960,2020-03-24,2,0,21177,2020-05-23,476.0,7.0,2020-06-02,497.0,8.0,2020-06-12,502.0,8.0,6,31153,7703,7645,3618,1428,65.52151339699999,30622,0.250804844397,0.719990801778,17.4,6369,5658,31081,42.4
3963,2020-03-24,2,0,21165,2020-05-23,8.0,0.0,2020-06-02,10.0,0.0,2020-06-12,10.0,0.0,0,6381,1692,943,1190,280,31.873634579,6489,0.25188916876600004,0.723281756027,26.4,1362,1269,6405,46.2
3966,2020-03-24,2,0,21145,2020-05-23,87.0,2.0,2020-06-02,97.0,2.0,2020-06-12,116.0,3.0,58,65285,16639,24753,3815,15248,263.01498592,65418,0.291970336274,0.664045518476,14.7,14454,12395,65284,42.1
3969,2020-03-24,1,0,21159,2020-05-23,3.0,0.0,2020-06-02,3.0,0.0,2020-06-12,3.0,0.0,0,12175,2520,1293,1047,1313,48.754813588999994,11195,0.0918754745634,0.8866109845610001,39.1,2409,1778,11919,39.3
3972,2020-03-24,1,0,21213,2020-05-23,44.0,3.0,2020-06-02,54.0,3.0,2020-06-12,57.0,3.0,0,17881,3934,4731,2711,3645,79.297915882,18572,0.284954811271,0.6747740563529999,12.5,4444,2917,18063,39.5
3975,2020-03-24,1,0,20043,2020-05-23,11.0,0.0,2020-06-02,17.0,0.0,2020-06-12,20.0,0.0,0,7790,2038,1792,2005,1031,19.314884582999998,7600,0.173499702911,0.7727272727269999,13.3,1489,1440,7736,41.3
3978,2020-03-24,1,0,19181,2020-05-23,99.0,0.0,2020-06-02,144.0,0.0,2020-06-12,191.0,1.0,0,48630,10113,8658,15933,3265,90.316926025,51466,0.3853098528760001,0.548855699212,7.1,12319,7503,49361,38.3
3981,2020-03-24,1,0,20207,2020-05-23,6.0,0.0,2020-06-02,6.0,0.0,2020-06-12,6.0,0.0,0,3178,1025,860,671,146,6.3035002498,3138,0.19014084506999998,0.748591549296,16.1,671,739,3170,48.3
3984,2020-03-24,1,0,20149,2020-05-23,24.0,0.0,2020-06-02,27.0,0.0,2020-06-12,35.0,0.0,0,23188,4546,5482,5421,4724,29.001823024,24383,0.211506902211,0.719277922579,8.0,6840,3239,23545,35.1
3987,2020-03-25,2,0,38089,2020-05-24,61.0,2.0,2020-06-03,62.0,2.0,2020-06-12,63.0,2.0,4,30316,5319,14704,1271,3653,23.588801261999997,31489,0.144036318613,0.8021460998759999,8.2,7810,3955,30876,33.9
3990,2020-03-25,1,0,38031,2020-05-24,1.0,0.0,2020-06-03,1.0,0.0,2020-06-12,1.0,0.0,0,3318,956,1522,240,330,5.062455206,3210,0.20364920541499998,0.728075338434,8.7,722,735,3290,45.6
3993,2020-03-25,1,0,39087,2020-05-24,28.0,0.0,2020-06-03,30.0,0.0,2020-06-12,32.0,0.0,0,61057,14970,9505,14518,4002,131.15757201,59463,0.263940806968,0.7029172607809999,18.8,13465,11025,60622,41.6
3996,2020-03-25,1,0,39047,2020-05-24,34.0,0.0,2020-06-03,40.0,0.0,2020-06-12,44.0,0.0,6,28659,6536,7794,4372,4448,70.19621917,28525,0.24701858186200001,0.717666635851,15.1,6849,4858,28645,40.7
3999,2020-03-25,1,0,37091,2020-05-24,66.0,1.0,2020-06-03,132.0,3.0,2020-06-12,143.0,7.0,10,24262,6311,5695,2797,3603,67.042594974,23677,0.6817821782179999,0.30504950495,23.2,4632,4532,24153,42.1
4002,2020-03-25,1,0,37107,2020-05-24,187.0,7.0,2020-06-03,219.0,7.0,2020-06-12,277.0,8.0,14,57934,14708,17864,5558,9740,140.19255974,55949,0.460862745098,0.52368627451,22.1,12917,10956,57227,42.2
4005,2020-03-25,1,0,37061,2020-05-24,628.0,12.0,2020-06-03,890.0,19.0,2020-06-12,1130.0,20.0,9,59350,13785,14484,9847,6433,72.09617333899999,58741,0.39784476481700004,0.589825736615,20.4,14388,10229,59062,40.6
4008,2020-03-25,1,0,37045,2020-05-24,67.0,2.0,2020-06-03,102.0,2.0,2020-06-12,143.0,2.0,57,97038,23687,26717,12963,8615,210.99489475,97947,0.337494619027,0.643315132429,19.1,21452,17418,97159,41.9
4011,2020-03-25,2,0,37111,2020-05-24,39.0,1.0,2020-06-03,73.0,1.0,2020-06-12,129.0,1.0,9,45069,11491,12383,4645,3311,104.00162297,45756,0.237510865675,0.74229176254,15.4,9276,8795,45109,43.6
4014,2020-03-25,1,0,37131,2020-05-24,138.0,12.0,2020-06-03,156.0,14.0,2020-06-12,163.0,14.0,0,20426,6480,2996,3918,2693,36.302998216,19483,0.6262678004300001,0.364306935765,21.4,3627,4901,20186,49.0
4017,2020-03-25,1,0,39107,2020-05-24,184.0,3.0,2020-06-03,220.0,7.0,2020-06-12,244.0,8.0,5,40723,9546,13731,6287,4060,89.031394041,41172,0.15646258503399998,0.806943467042,7.6,10482,6923,40806,39.9
4020,2020-03-25,1,0,41041,2020-05-24,9.0,0.0,2020-06-03,18.0,0.0,2020-06-12,184.0,0.0,0,47307,17261,17882,1156,1334,50.929541696,49962,0.511753692532,0.41194091949199996,13.6,8199,12952,47881,51.3
4023,2020-03-25,1,0,42073,2020-05-24,74.0,8.0,2020-06-03,83.0,8.0,2020-06-12,86.0,8.0,18,88231,25000,24487,13946,7658,239.37776967,85512,0.34355813093299997,0.624411293305,15.8,17469,18408,87382,45.1
4026,2020-03-25,2,0,42059,2020-05-24,27.0,0.0,2020-06-03,27.0,0.0,2020-06-12,30.0,0.0,0,37338,9105,8905,5340,7381,62.911894676,36233,0.277967235038,0.6950183884990001,15.9,7179,6672,37144,42.0
4029,2020-03-25,1,0,40013,2020-05-24,22.0,1.0,2020-06-03,32.0,1.0,2020-06-12,49.0,1.0,8,45068,10589,13798,4307,3220,53.077612087,47995,0.20275862069000009,0.758548094374,16.6,10747,7999,45759,37.5
4032,2020-03-25,2,0,40001,2020-05-24,82.0,3.0,2020-06-03,91.0,4.0,2020-06-12,95.0,4.0,0,22136,4650,5080,3125,1200,38.675265348,22194,0.212430426716,0.7348484848479999,24.6,5839,3378,22113,37.6
4035,2020-03-25,1,0,39169,2020-05-24,248.0,50.0,2020-06-03,288.0,51.0,2020-06-12,304.0,52.0,14,115915,26488,37731,15728,13012,208.55959709,115710,0.302162718847,0.651328527291,9.4,28449,19566,116208,38.5
4038,2020-03-25,1,0,40019,2020-05-24,22.0,1.0,2020-06-03,45.0,1.0,2020-06-12,57.0,1.0,13,48407,10584,18475,2010,5412,58.514844004,48111,0.215939135596,0.741973776507,17.7,12273,7814,48406,38.2
4041,2020-03-25,1,0,39147,2020-05-24,18.0,2.0,2020-06-03,24.0,2.0,2020-06-12,29.0,2.0,9,55549,13111,14353,10419,5025,100.13676504,55178,0.30820663515200003,0.620033218347,12.1,12284,9434,55475,39.4
4044,2020-03-25,1,0,39129,2020-05-24,2042.0,35.0,2020-06-03,2095.0,37.0,2020-06-12,2115.0,39.0,8,57075,11657,9061,15054,7225,116.62750047,58457,0.26560006718699997,0.6921138825900001,12.1,12539,8681,57420,39.4
4047,2020-03-25,1,0,40137,2020-05-24,37.0,1.0,2020-06-03,40.0,1.0,2020-06-12,44.0,1.0,9,44293,10951,15195,3372,3131,49.578461495,43143,0.172425360617,0.792016101979,15.0,10319,8254,43983,40.5
4050,2020-03-25,1,0,40125,2020-05-24,57.0,4.0,2020-06-03,63.0,4.0,2020-06-12,67.0,4.0,14,71614,15322,19763,9250,6311,92.14620112700001,72592,0.2362591966010001,0.7013416217489999,17.6,17399,11396,72000,37.5
4053,2020-03-25,1,0,40113,2020-05-24,94.0,8.0,2020-06-03,96.0,8.0,2020-06-12,104.0,8.0,0,47350,11772,6746,12255,3254,20.90398952,46963,0.2952697708800001,0.663023967902,15.1,10655,8817,47311,42.1
4056,2020-03-25,5,0,40037,2020-05-24,90.0,7.0,2020-06-03,97.0,7.0,2020-06-12,102.0,7.0,0,70899,16589,12254,17207,8078,75.29799072,71522,0.202667963593,0.748245674981,14.0,17196,12111,71160,40.2
4059,2020-03-25,1,0,40041,2020-05-24,99.0,16.0,2020-06-03,100.0,16.0,2020-06-12,107.0,16.0,6,41878,13064,9059,6384,2652,58.275503266,43009,0.210841836735,0.752295918367,20.7,8719,10180,42112,46.7
4062,2020-03-25,1,0,37027,2020-05-24,106.0,2.0,2020-06-03,160.0,3.0,2020-06-12,238.0,3.0,12,81805,20816,20677,12395,5371,174.14608166,82178,0.235068677092,0.741292975634,15.9,16870,15466,81779,44.1
4065,2020-03-25,1,0,31053,2020-05-24,355.0,1.0,2020-06-03,503.0,1.0,2020-06-12,616.0,2.0,0,36576,9091,13011,5032,4318,69.11262295899999,36565,0.29754662744800003,0.650845644762,9.8,8758,6876,36683,39.0
4068,2020-03-25,1,0,30041,2020-05-24,1.0,0.0,2020-06-03,1.0,0.0,2020-06-12,1.0,0.0,6,16468,3176,6946,307,835,5.6857649915999975,16484,0.370253663148,0.54293366945,13.5,4526,2349,16439,34.5
4071,2020-03-25,1,0,32019,2020-05-24,52.0,0.0,2020-06-03,66.0,1.0,2020-06-12,89.0,2.0,0,52303,14565,9147,10501,3327,28.737262348,57510,0.258648261931,0.6735544146119999,10.5,11585,10937,53155,44.1
4074,2020-03-25,1,0,29053,2020-05-24,9.0,0.0,2020-06-03,9.0,0.0,2020-06-12,9.0,0.0,0,17620,4083,4444,3350,1643,31.357063255,17709,0.24222668004,0.70498996991,14.0,3862,3000,17622,39.0
4077,2020-03-25,1,0,42081,2020-05-24,158.0,14.0,2020-06-03,166.0,17.0,2020-06-12,168.0,17.0,32,115398,28691,45884,7613,10340,92.205620026,113299,0.257008788325,0.70535252714,13.0,23647,21245,114859,41.4
4080,2020-03-25,1,0,29205,2020-05-24,1.0,0.0,2020-06-03,1.0,0.0,2020-06-12,1.0,0.0,0,6084,1705,1939,933,442,11.839555224000001,5930,0.186346863469,0.776137761378,14.3,1458,1238,6061,41.5
4083,2020-03-25,1,0,29175,2020-05-24,9.0,0.0,2020-06-03,10.0,0.0,2020-06-12,10.0,0.0,8,24987,5586,6856,2488,2716,51.268681755,24748,0.22145697933800002,0.7303327189830001,17.6,5454,3973,24945,39.1
4086,2020-03-25,1,0,29173,2020-05-24,2.0,0.0,2020-06-03,5.0,0.0,2020-06-12,5.0,0.0,0,10208,2800,1794,2977,1399,21.943997436999997,10309,0.216103304216,0.75370300038,9.1,2174,2087,10217,45.0
4089,2020-03-25,2,0,29165,2020-05-24,68.0,1.0,2020-06-03,75.0,2.0,2020-06-12,97.0,3.0,0,96899,18623,20064,29189,25560,248.74104911,104418,0.405544478034,0.535473081623,5.8,23564,13705,98824,38.3
4092,2020-03-25,1,0,29139,2020-05-24,8.0,0.0,2020-06-03,9.0,0.0,2020-06-12,12.0,0.0,0,11618,3177,2606,2418,675,21.588757537,11551,0.206120943953,0.760324483776,14.3,2623,2325,11545,44.0
4095,2020-03-25,1,0,29119,2020-05-24,17.0,0.0,2020-06-03,22.0,0.0,2020-06-12,63.0,0.0,0,22753,4923,4698,4708,2243,42.33149127,22837,0.161423539415,0.8015304263330001,17.9,5895,3399,22827,38.3
4098,2020-03-25,1,0,29145,2020-05-24,18.0,1.0,2020-06-03,24.0,1.0,2020-06-12,58.0,1.0,0,58237,13667,13944,11772,10399,93.21422398799999,58236,0.18818380744000002,0.775145250132,16.0,14090,10183,58202,39.7
4101,2020-03-25,1,0,36033,2020-05-24,20.0,0.0,2020-06-03,23.0,0.0,2020-06-12,24.0,0.0,13,51054,11559,15860,3674,4026,30.703152586999998,50022,0.4302218114600001,0.504092949564,16.7,9912,8081,50692,40.6
4104,2020-03-25,2,0,37023,2020-05-24,277.0,14.0,2020-06-03,474.0,15.0,2020-06-12,669.0,16.0,16,88898,23258,24309,11392,6821,178.74051206,90485,0.290398002019,0.6839098783140001,14.0,17402,17196,89712,43.6
4107,2020-03-25,2,0,37015,2020-05-24,113.0,3.0,2020-06-03,126.0,4.0,2020-06-12,134.0,4.0,0,19913,5537,3938,3167,2119,27.0990253,18947,0.6222814498929999,0.3705756929640001,23.5,3508,4125,19644,45.2
4110,2020-03-25,1,1,35015,2020-05-24,18.0,1.0,2020-06-03,23.0,1.0,2020-06-12,46.0,1.0,12,56793,11808,24489,977,4566,13.997886242,58460,0.256517953183,0.6722327511139999,15.7,15197,8129,57437,35.3
4113,2020-03-25,1,0,36013,2020-05-24,75.0,3.0,2020-06-03,89.0,3.0,2020-06-12,106.0,4.0,26,130846,33458,49683,6555,6276,119.69102866,126903,0.34995241084600004,0.595735201798,18.3,26748,24668,129656,42.5
4116,2020-03-25,2,0,35039,2020-05-24,37.0,0.0,2020-06-03,52.0,1.0,2020-06-12,60.0,1.0,8,39455,9932,8855,6225,2876,6.6408197872,38921,0.645628766845,0.24263560641999998,22.0,9318,7083,39307,40.6
4122,2020-03-25,2,0,51069,2020-05-24,262.0,3.0,2020-06-03,378.0,4.0,2020-06-12,423.0,4.0,0,83784,17641,16002,24357,14868,216.16593192,89313,0.297012433658,0.6495651957240001,7.0,19784,13804,85153,40.6
4125,2020-03-25,3,0,51171,2020-05-24,372.0,16.0,2020-06-03,465.0,22.0,2020-06-12,505.0,26.0,0,42854,11604,11213,8582,3539,85.846098474,43616,0.259109909024,0.692303909516,10.4,9160,9018,43045,44.4
4128,2020-03-25,1,0,51161,2020-05-24,90.0,5.0,2020-06-03,113.0,6.0,2020-06-12,132.0,5.0,0,93419,25341,15096,29484,21017,375.92578025,94186,0.334742467447,0.615306386967,6.7,19017,19088,93583,43.6
4131,2020-03-25,1,0,51135,2020-05-24,19.0,0.0,2020-06-03,40.0,0.0,2020-06-12,63.0,0.0,0,15537,3814,3543,2063,3179,48.449422448,15232,0.421170165252,0.552627661158,22.4,3021,2870,15500,41.7
4134,2020-03-25,1,0,51125,2020-05-24,13.0,0.0,2020-06-03,17.0,0.0,2020-06-12,18.0,0.0,0,14863,5121,2941,3532,1549,31.715668351999998,14930,0.4458591002790001,0.503213289681,12.3,2727,3727,14812,50.1
4137,2020-03-25,1,0,51115,2020-05-24,5.0,0.0,2020-06-03,5.0,0.0,2020-06-12,5.0,0.0,0,8830,3293,1503,2391,619,102.82827026,8834,0.295351473923,0.664210128496,9.3,1335,2621,8796,52.9
4143,2020-03-25,1,0,51113,2020-05-24,32.0,1.0,2020-06-03,41.0,1.0,2020-06-12,42.0,1.0,0,13108,3779,2136,3680,1354,41.358210649,13261,0.31756561869100003,0.637150274012,10.1,2727,2769,13139,44.8
4146,2020-03-25,1,0,51137,2020-05-24,80.0,0.0,2020-06-03,111.0,1.0,2020-06-12,124.0,2.0,0,35265,9382,5245,9428,3307,108.61835795,37051,0.347088651862,0.612636241767,9.4,7761,6992,35612,42.1
4149,2020-03-25,1,0,48493,2020-05-24,38.0,5.0,2020-06-03,41.0,5.0,2020-06-12,50.0,5.0,4,47205,10123,7823,12402,2549,63.540878886,51070,0.248766554142,0.7266164632559999,10.9,11791,7229,48198,40.2
4152,2020-03-25,3,0,48481,2020-05-24,45.0,0.0,2020-06-03,68.0,0.0,2020-06-12,89.0,1.0,4,41430,9080,13510,4832,2852,38.259883776,41556,0.28816209968,0.690079553954,16.8,10818,6767,41551,37.2
4155,2020-03-25,1,0,48471,2020-05-24,474.0,27.0,2020-06-03,1730.0,27.0,2020-06-12,1868.0,27.0,6,70818,11996,16907,5457,6825,93.04893805399999,72971,0.309150027943,0.654270182391,26.1,10876,8717,71539,35.4
4158,2020-03-25,1,0,48451,2020-05-24,64.0,1.0,2020-06-03,70.0,1.0,2020-06-12,89.0,1.0,29,116906,23527,50373,3938,3661,78.317929694,119200,0.23926621876999996,0.718454755406,15.5,27887,17461,117466,33.9
4161,2020-03-25,1,0,48445,2020-05-24,13.0,0.0,2020-06-03,13.0,0.0,2020-06-12,13.0,0.0,0,12755,2635,3570,1053,908,13.879898312,12337,0.24049914917800005,0.734543391946,22.4,3460,1921,12615,34.7
4164,2020-03-25,1,0,48409,2020-05-24,28.0,0.0,2020-06-03,36.0,0.0,2020-06-12,41.0,0.0,0,66867,12717,14279,13762,6660,96.230941374,66730,0.363733556454,0.604471714777,17.3,18198,9623,67046,35.3
4167,2020-03-25,1,0,48395,2020-05-24,7.0,0.0,2020-06-03,11.0,0.0,2020-06-12,17.0,0.0,0,16727,4255,3386,3180,1889,19.967069855,17074,0.314265335235,0.66547788873,15.8,4063,3200,16890,40.9
4170,2020-03-25,4,0,50015,2020-05-24,29.0,1.0,2020-06-03,29.0,1.0,2020-06-12,29.0,1.0,0,25191,5651,9418,3479,2838,55.270513776,25362,0.622025599175,0.306674684305,11.0,5253,4077,25268,40.9
4173,2020-03-25,1,0,55057,2020-05-24,22.0,1.0,2020-06-03,22.0,1.0,2020-06-12,24.0,1.0,0,26427,7133,7249,4165,2832,34.790346725999996,26687,0.34935241990500004,0.612474437628,13.4,5333,5239,26419,45.2
4176,2020-03-25,3,0,55049,2020-05-24,11.0,0.0,2020-06-03,17.0,0.0,2020-06-12,16.0,0.0,0,23576,5649,7047,5164,4225,31.045033631,23678,0.550111358575,0.39668398911200003,8.2,5473,4088,23620,42.5
4179,2020-03-25,1,0,55043,2020-05-24,82.0,11.0,2020-06-03,98.0,12.0,2020-06-12,103.0,12.0,0,51742,11571,17468,8096,4188,44.85129779,51439,0.41773730822,0.51336742755,14.0,10687,8591,51828,35.7
4182,2020-03-25,1,0,55081,2020-05-24,16.0,1.0,2020-06-03,18.0,1.0,2020-06-12,29.0,1.0,0,45303,10280,16407,4519,5989,51.34067194,46253,0.360386621663,0.585148818656,13.2,11576,7337,45502,39.5
4185,2020-03-25,1,0,56001,2020-05-24,14.0,0.0,2020-06-03,25.0,0.0,2020-06-12,25.0,0.0,4,37944,5887,18996,1284,741,9.0961689364,38880,0.419488428745,0.462911084044,20.4,6388,4135,38102,27.3
4188,2020-03-25,1,0,54081,2020-05-24,15.0,0.0,2020-06-03,17.0,0.0,2020-06-12,23.0,0.0,43,77097,20258,23817,4744,7542,121.18616658,73361,0.217051618846,0.744942171881,20.7,15917,14907,76232,42.4
4191,2020-03-25,1,0,53019,2020-05-24,1.0,0.0,2020-06-03,1.0,0.0,2020-06-12,1.0,0.0,0,7568,2554,1809,532,331,3.4617223747000003,7627,0.306460674157,0.6117977528090001,17.8,1353,1833,7576,49.6
4194,2020-03-25,1,0,53047,2020-05-24,44.0,2.0,2020-06-03,53.0,2.0,2020-06-12,74.0,2.0,0,41377,11602,15111,1363,1633,8.0215523802,42243,0.365372257413,0.578812081153,17.0,9564,8626,41638,42.9
4197,2020-03-25,2,0,54069,2020-05-24,39.0,1.0,2020-06-03,47.0,1.0,2020-06-12,53.0,1.0,37,42906,12039,14861,4886,15394,391.29661569999996,41411,0.305965542399,0.6216398226609999,12.5,8131,8826,42547,43.5
4200,2020-03-25,1,0,54049,2020-05-24,50.0,2.0,2020-06-03,51.0,2.0,2020-06-12,53.0,2.0,14,56575,14663,15428,9597,5065,181.60788067,56072,0.302313400262,0.636927106067,16.6,11321,10654,56497,41.2
4203,2020-03-25,1,0,54045,2020-05-24,16.0,1.0,2020-06-03,19.0,1.0,2020-06-12,21.0,1.0,12,34428,8559,8804,2296,3556,70.562171378,32019,0.16906211936700002,0.80113682501,24.6,6989,6246,33801,43.3
4206,2020-03-25,1,0,48361,2020-05-24,96.0,2.0,2020-06-03,98.0,2.0,2020-06-12,105.0,2.0,0,83909,17601,20393,14596,7413,249.84889377,83396,0.17996914454799998,0.799250653317,13.4,20860,12906,84047,37.8
4209,2020-03-25,1,0,46083,2020-05-24,229.0,0.0,2020-06-03,240.0,0.0,2020-06-12,262.0,0.0,0,53147,8390,8321,19087,8114,105.88729235,61128,0.32008243827,0.614284015695,4.4,15695,6393,54914,34.6
4212,2020-03-25,1,0,45089,2020-05-24,212.0,11.0,2020-06-03,246.0,14.0,2020-06-12,274.0,15.0,4,32256,8243,6022,5181,3205,32.508156833,30368,0.661107050302,0.323144394976,26.0,6813,6103,31794,42.1
4215,2020-03-25,1,0,45087,2020-05-24,31.0,0.0,2020-06-03,40.0,0.0,2020-06-12,43.0,0.0,6,27772,7465,6650,4120,2266,53.126302935,27316,0.391081327046,0.58393315132,20.4,5945,5353,27644,43.8
4218,2020-03-25,1,0,46093,2020-05-24,10.0,0.0,2020-06-03,22.0,0.0,2020-06-12,30.0,1.0,3,27066,5515,5630,8104,2798,8.1626446059,28332,0.191291627227,0.726357456329,8.4,6517,3870,27424,36.2
4221,2020-03-25,1,0,47003,2020-05-24,265.0,4.0,2020-06-03,295.0,4.0,2020-06-12,376.0,4.0,8,46854,9596,12649,6887,4308,104.95964575,49713,0.221176470588,0.748692810458,14.4,12249,7021,47558,37.5
4224,2020-03-25,9,0,44009,2020-05-24,486.0,32.0,2020-06-03,499.0,51.0,2020-06-12,513.0,61.0,17,126190,33367,35269,28306,20534,381.3700942,125577,0.52230361596,0.421976309227,8.0,21752,24442,126242,44.5
4227,2020-03-25,37,0,44007,2020-05-24,10607.0,342.0,2020-06-03,11052.0,518.0,2020-06-12,11959.0,637.0,237,633704,128527,207505,86215,88831,1560.3245879,638931,0.585551944024,0.37350817557,16.1,131959,93384,634533,37.3
4230,2020-03-25,8,0,44005,2020-05-24,228.0,4.0,2020-06-03,244.0,4.0,2020-06-12,269.0,4.0,10,83204,22925,33244,10034,10971,801.28864723,82082,0.570408188929,0.37662533638499995,8.1,14521,17350,83075,45.0
4233,2020-03-25,7,0,44003,2020-05-24,1013.0,46.0,2020-06-03,1052.0,68.0,2020-06-12,1105.0,82.0,15,164012,40477,37875,45681,35366,974.64998975,164292,0.471596541642,0.478611135511,7.8,31256,29628,163861,43.8
4236,2020-03-25,5,0,44001,2020-05-24,213.0,1.0,2020-06-03,224.0,11.0,2020-06-12,231.0,13.0,0,49028,12397,8800,15099,6228,2008.8848537000001,48479,0.588554534041,0.360860232473,7.7,9381,9406,48900,44.2
4239,2020-03-25,1,0,42123,2020-05-24,3.0,0.0,2020-06-03,4.0,0.0,2020-06-12,5.0,0.0,6,40345,11948,14613,3562,2491,44.326762048999996,39191,0.27394462097100003,0.682705401725,11.2,7818,8707,40035,47.0
4242,2020-03-25,1,0,45067,2020-05-24,64.0,5.0,2020-06-03,73.0,5.0,2020-06-12,88.0,5.0,10,31765,8483,5970,5646,1745,62.660178447,30657,0.5994232257159999,0.382218470845,25.5,7307,5787,31562,40.4
4245,2020-03-25,1,0,47073,2020-05-24,31.0,2.0,2020-06-03,34.0,2.0,2020-06-12,34.0,2.0,6,56402,14964,9734,11341,3044,116.59066506,56786,0.169227795496,0.802696433749,18.4,11566,11261,56402,44.6
4248,2020-03-25,2,0,48199,2020-05-24,136.0,5.0,2020-06-03,138.0,5.0,2020-06-12,145.0,5.0,0,55993,12351,9344,14414,3056,64.678613345,57602,0.122057273366,0.8608573436399999,12.4,13993,9195,56379,39.0
4251,2020-03-25,1,0,48189,2020-05-24,55.0,4.0,2020-06-03,60.0,4.0,2020-06-12,76.0,5.0,5,34527,6124,11412,2436,2477,33.250384565,33406,0.237446034992,0.721086116792,18.4,9358,4492,34113,33.1
4254,2020-03-25,4,0,48187,2020-05-24,122.0,0.0,2020-06-03,135.0,0.0,2020-06-12,160.0,0.0,9,150889,27355,25540,41323,15517,234.58186897,166847,0.319958056624,0.637801468018,8.5,39877,20739,155137,36.7
4257,2020-03-25,2,0,48185,2020-05-24,99.0,1.0,2020-06-03,226.0,1.0,2020-06-12,270.0,1.0,0,27358,6472,4918,4841,2527,36.674567913000004,28880,0.23026868178000004,0.741498740554,17.5,6220,4554,27630,40.3
4260,2020-03-25,1,0,48165,2020-05-24,6.0,0.0,2020-06-03,7.0,0.0,2020-06-12,9.0,0.0,0,19889,2513,6066,1631,1150,14.305452668,21492,0.129529182035,0.847689303537,15.4,7284,1765,20321,27.9
4263,2020-03-25,1,0,48149,2020-05-24,32.0,2.0,2020-06-03,36.0,2.0,2020-06-12,44.0,2.0,0,24963,7816,8224,3240,2302,26.681861991999998,25346,0.19285519992699998,0.784114606945,13.3,5206,6023,25066,47.0
4266,2020-03-25,1,0,48143,2020-05-24,15.0,1.0,2020-06-03,17.0,1.0,2020-06-12,32.0,1.0,5,41016,7785,15765,3184,2321,39.419199755,42698,0.15633598841399998,0.8113685734970001,18.1,8744,5718,41482,30.0
4269,2020-03-25,2,0,48133,2020-05-24,5.0,0.0,2020-06-03,7.0,0.0,2020-06-12,7.0,0.0,0,18278,5417,5596,1112,1018,19.816341085,18360,0.111896178803,0.866330209084,18.7,3741,4107,18270,42.4
4272,2020-03-25,2,0,48331,2020-05-24,28.0,1.0,2020-06-03,29.0,1.0,2020-06-12,40.0,1.0,0,24479,6636,5490,3547,1646,24.409933651,24823,0.237248751017,0.736609736261,15.6,6070,4862,24664,41.3
4275,2020-03-25,1,0,48323,2020-05-24,97.0,1.0,2020-06-03,120.0,1.0,2020-06-12,149.0,2.0,10,57471,8834,16228,3628,667,45.895486045,58722,0.765160435679,0.20724168383900002,25.9,18407,6596,57970,29.6
4278,2020-03-25,1,0,48299,2020-05-24,3.0,0.0,2020-06-03,3.0,0.0,2020-06-12,4.0,0.0,0,20195,9184,4855,2467,1482,23.333797622,21795,0.175869711863,0.798207574443,12.3,3020,7418,20640,57.6
4281,2020-03-25,1,0,48291,2020-05-24,80.0,3.0,2020-06-03,97.0,3.0,2020-06-12,121.0,3.0,0,79884,14641,12203,14822,5736,76.159621626,88219,0.200827985924,0.780625129373,15.1,21047,10537,81862,35.7
4284,2020-03-25,1,0,48277,2020-05-24,133.0,9.0,2020-06-03,151.0,11.0,2020-06-12,163.0,11.0,20,49401,12011,17859,2696,3394,54.95945535600001,49859,0.193073312834,0.784700868533,14.4,11791,9227,49532,40.8
4287,2020-03-25,3,0,48259,2020-05-24,24.0,0.0,2020-06-03,31.0,0.0,2020-06-12,35.0,0.0,0,40306,10163,8051,8230,5934,71.598945495,47431,0.182233146067,0.7856641252009999,7.5,9854,7894,41982,42.1
4290,2020-03-25,2,0,48257,2020-05-24,182.0,2.0,2020-06-03,230.0,2.0,2020-06-12,325.0,3.0,8,114852,19451,19191,29193,9694,174.40218792,136154,0.250494155543,0.7207838161010001,11.5,32967,14036,118910,35.6
4293,2020-03-25,1,0,48231,2020-05-24,75.0,4.0,2020-06-03,91.0,4.0,2020-06-12,162.0,5.0,23,90322,19359,21561,13057,9535,117.31580879,98594,0.202052268719,0.76530383197,13.6,22128,14522,92152,37.8
4296,2020-03-25,1,0,48223,2020-05-24,15.0,0.0,2020-06-03,27.0,0.0,2020-06-12,41.0,0.0,10,35929,8258,10900,4082,2247,48.322452085,37084,0.18610863757800009,0.794300979519,14.6,9058,6478,36240,39.5
4299,2020-03-25,1,0,48293,2020-05-24,23.0,1.0,2020-06-03,27.0,1.0,2020-06-12,36.0,1.0,6,23480,5738,7081,2186,2378,25.884934893,23437,0.22855648535599998,0.7514382845190001,22.2,5380,4283,23515,40.0
4302,2020-03-25,1,0,48099,2020-05-24,226.0,2.0,2020-06-03,289.0,2.0,2020-06-12,299.0,2.0,4,75818,9667,13995,16194,6372,72.183136949,75951,0.278976112981,0.6736911789040001,15.0,17809,7013,75389,31.5
4305,2020-03-25,1,0,47101,2020-05-24,3.0,0.0,2020-06-03,3.0,0.0,2020-06-12,5.0,0.0,0,11944,3517,2979,1789,282,43.48936748,12268,0.19343620951999999,0.7778743751360001,17.5,2677,2468,11956,43.9
