,date_0days,cases_0days,deaths_0days,fips,date_60days,cases_60days,deaths_60days,date_70days,cases_70days,deaths_70days,date_80days,cases_80days,deaths_80days,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019,percent_democrat,percent_gop,percent_in_poverty,pop_under18,pop_over65,pop_2018,median_age
102,2020-03-04,9,0,36119,2020-05-03,29884.0,1203.0,2020-05-13,31610.0,1368.0,2020-05-23,32880.0,1451.0,179,975321,214443,282569,171896,152533,2246.9377105999997,967506,0.649051798386,0.321376675667,8.3,217100,158902,968815,40.8
105,2020-03-04,1,0,48157,2020-05-03,1183.0,28.0,2020-05-13,1452.0,40.0,2020-05-23,1676.0,41.0,128,711421,107897,112952,196726,57252,941.89227299,811688,0.516482503543,0.45017993831799996,7.9,205484,74854,739342,36.0
108,2020-03-04,1,0,53007,2020-05-03,123.0,6.0,2020-05-13,165.0,7.0,2020-05-23,222.0,7.0,20,75138,18408,27608,4605,9594,26.427687744,77200,0.392850629218,0.549699069852,10.9,18122,13790,75757,40.2
111,2020-03-05,1,0,36059,2020-05-04,36965.0,2221.0,2020-05-14,38743.0,2485.0,2020-05-24,39837.0,2586.0,461,1363069,318040,377465,276223,193326,4767.2768183,1356924,0.512509818244,0.4594004159100001,5.8,295105,232164,1356564,41.6
114,2020-03-05,1,0,32003,2020-05-04,4411.0,223.0,2020-05-14,5144.0,282.0,2020-05-24,6140.0,331.0,535,2112436,405618,896544,15993,21468,287.22956575,2266715,0.523983533245,0.417510102284,14.0,504354,301845,2141574,37.1
117,2020-03-05,1,0,32031,2020-05-04,988.0,35.0,2020-05-14,1154.0,45.0,2020-05-24,1378.0,52.0,331,445551,95558,189113,15056,14255,74.652791386,471519,0.46364235815800003,0.4516824189370001,10.4,99352,69819,450486,38.1
120,2020-03-05,4,0,48201,2020-05-04,6967.0,140.0,2020-05-14,8817.0,193.0,2020-05-24,10921.0,220.0,918,4525519,651673,1886183,159527,461890,2762.5492191,4713325,0.54223505185,0.41827111637500003,16.5,1240376,452327,4602523,33.3
123,2020-03-05,1,0,47187,2020-05-04,431.0,9.0,2020-05-14,456.0,10.0,2020-05-24,512.0,10.0,28,212161,37356,57299,38360,58838,409.03186847,238412,0.296007640879,0.65100286533,3.8,60531,27140,218648,39.2
126,2020-03-05,3,0,24031,2020-05-04,5411.0,301.0,2020-05-14,7588.0,437.0,2020-05-24,9958.0,558.0,150,1039198,209461,318911,213804,179278,2130.9408448,1050688,0.7586602988,0.20324516287,6.9,243609,151809,1040133,39.0
129,2020-03-05,1,0,25017,2020-05-04,15757.0,997.0,2020-05-14,18381.0,1327.0,2020-05-24,20437.0,1518.0,216,1582857,319971,548665,268960,337744,1970.6497636,1611699,0.663227499782,0.2817054306,7.3,321214,234069,1595192,38.5
132,2020-03-05,1,0,12113,2020-05-04,158.0,8.0,2020-05-14,180.0,9.0,2020-05-24,207.0,9.0,16,166778,34353,33660,35923,7801,182.05920707,184313,0.210426388508,0.744876017934,9.5,37910,26193,170442,39.7
