,cases_70days,icu_beds,commuting_in,density,percent_democrat,percent_in_poverty,pop_over65,median_age,percent_with_bachelors,median_income,pop_2019
194,1053,6,19099,493.58716198,0.261486659922,7.7,21500,37.4,31.8,69880,158167
195,5041,123,147893,1382.729562,0.565454887364,9.9,136329,39.3,38.6,75836,827370
196,334,13,11957,281.64884456,0.305136855852,12.3,15344,41.7,21.2,55365,82544
197,233,47,20308,440.7050343,0.315539034547,6.6,45239,43.4,43.7,81925,264672
198,419,21,11993,234.76983541,0.208949901943,12.2,13851,37.9,19.5,57409,107738
199,6905,108,121367,1569.1260633,0.572891332339,8.0,93069,38.2,45.0,87336,696535
200,226,48,11896,236.15375655,0.396979327955,25.9,13198,30.2,25.6,41820,117406
201,345,0,2099,84.27504237699999,0.22444349922,12.4,3498,37.2,25.6,66090,29992
202,81,14,10846,259.73695195,0.309876454013,15.1,16797,26.2,21.4,50531,197938
203,290,24,12826,264.5772215,0.332962757087,11.7,24306,38.1,21.8,60296,209339
204,801,259,56582,937.43532337,0.536134346614,16.4,56532,38.3,33.8,50112,382295
205,406,25,27845,599.16695849,0.385134392651,9.0,25749,37.9,31.2,69297,216453
206,499,42,22006,320.30123638,0.447843695853,17.6,41230,44.2,18.5,47424,197974
207,2894,173,196508,2120.6952358,0.632820450638,11.7,112217,35.0,44.8,64509,1110356
208,284,54,60620,223.54826862,0.495162955154,7.3,69081,41.4,36.8,81061,418187
209,10107,76,32193,473.88006089,0.447855463116,11.5,50452,36.9,29.8,75048,384940
210,27,0,2071,47.094049154,0.274486477913,7.4,4251,41.6,27.4,75177,26248
211,81,24,12793,386.53062391,0.38415414135,11.3,10667,42.8,22.3,56382,55916
212,16906,267,184721,6336.819561,0.770596515103,14.9,104288,37.5,34.8,62875,798975
213,6155,91,142549,1067.0035589,0.459867067447,4.7,80497,42.6,53.6,112396,491845
214,1700,120,100266,584.33256541,0.5951338703,11.3,49416,37.9,41.3,64536,305506
215,71,0,5658,30.597824625,0.327652154348,15.9,10595,47.5,21.9,47382,44135
216,3745,51,24809,369.78375908,0.473165334154,9.2,48700,42.0,35.2,79604,294218
217,93,0,3897,43.441185008999994,0.300441037055,13.5,12251,44.0,21.0,53168,61319
218,2814,64,40841,825.58117284,0.461817545088,10.2,54951,42.1,29.2,68217,305285
219,473,0,4265,102.40925076,0.354753318499,10.3,11899,47.7,28.0,62657,55809
220,244,24,23758,230.32549044,0.310689583233,5.2,17287,42.9,39.2,91028,107766
221,189,26,13759,537.51192904,0.446708940731,7.0,17930,46.4,49.6,86541,76523
222,99,8,4275,65.155746788,0.503676067157,20.0,3598,30.8,28.1,48450,22802
223,4183,24,56592,1400.8710867999994,0.573632761263,6.4,41803,34.9,40.1,106200,470335
224,1,0,384,4.5879216491,0.240902809765,13.3,1093,49.4,24.9,53700,3985
225,15,0,2687,39.475394474,0.425568521843,17.3,14607,43.7,15.8,48763,75061
226,111,163,46400,433.99134554,0.33226496563700003,15.5,45660,36.0,30.2,44799,293086
227,2684,52,4829,58.417117784,0.393936879374,16.5,32887,32.8,16.0,51377,250873
229,328,254,61760,925.21884364,0.35065768188100005,13.2,69073,37.3,36.7,55874,470313
230,1303,21,16681,195.90467325,0.408851119732,6.9,36456,47.2,35.1,76304,180333
231,351,28,13035,362.63057436,0.261068228613,8.8,30931,39.5,24.1,62835,219252
232,1355,412,107565,1255.8590574999996,0.474949502489,14.5,123480,36.1,29.2,55733,957755
233,4966,401,88700,761.99313226,0.5651114137259999,12.2,336908,44.6,35.7,61735,1496770
234,2759,168,86255,443.64116675,0.493767309065,9.2,49181,33.6,23.6,70199,517421
235,1853,41,26104,119.95486531,0.323795657403,12.4,22187,34.3,27.8,60843,161075
236,207,73,15554,168.73682383,0.37715947248,9.5,29492,33.2,35.3,82113,288000
237,740,209,79769,516.73581324,0.566652718604,16.7,56988,36.9,34.1,49957,391911
238,1603,51,15952,96.634667469,0.413435408318,22.2,50391,30.8,14.3,48763,466195
239,550,118,41468,780.13055204,0.427449247076,10.3,145841,55.5,34.7,61652,433742
240,445,38,63897,1525.3362784,0.470685498068,9.9,67463,39.2,38.2,67187,471826
241,17,4,4569,142.67582816,0.276121360497,15.3,4289,39.1,16.3,46629,28157
242,202,54,12278,231.38475747,0.415160823997,12.3,18104,40.7,22.2,49935,108277
243,674,219,61681,525.85045211,0.6088344146600001,18.1,36861,31.8,38.5,52837,292406
244,3145,150,81383,773.91239313,0.452434126751,11.3,82873,35.1,35.2,61675,656955
245,62,12,5509,90.579015271,0.296505497816,14.3,10519,40.7,13.0,50396,63888
246,422,23,7654,220.60178088,0.314806267149,13.8,28275,43.5,18.3,56557,159128
247,1265,92,75582,520.70814112,0.683890577508,15.0,47278,33.4,55.2,72267,367601
248,929,12,74856,762.64373784,0.482163396149,6.3,54846,37.8,41.8,86403,429021
249,6029,311,345901,2285.5562907,0.638202377483,10.3,164160,36.4,49.2,76067,1265843
250,1266,145,52672,1090.9501807,0.618240040449,18.4,19309,33.7,17.4,47084,165429
251,7,6,2198,35.412167908,0.31672256828,8.0,3954,41.7,22.2,60531,20165
252,949,16,10128,222.29064897,0.431920359666,20.2,19322,37.6,19.5,41572,123131
253,645,36,27997,759.10726707,0.500900550066,11.3,25515,39.9,31.4,63297,155299
254,1179,300,137115,1124.9568909000004,0.411759116111,16.9,101851,34.5,31.8,52346,797434
255,572,45,50332,464.49105414,0.384833315952,7.3,44001,40.5,35.8,71695,253370
256,2363,93,86027,699.4921241000003,0.525763491188,6.7,79856,40.4,51.8,99224,524989
257,88,41,5408,61.249907888,0.326509470429,10.9,25450,38.2,31.0,59975,161300
258,16,8,4529,20.076447454,0.425290085171,10.5,11607,41.0,38.6,63860,69432
259,149,8,2640,43.928342984,0.4577239356710001,9.0,12315,33.5,49.0,67569,114434
260,9,8,1663,31.313821239,0.239066463724,16.8,4541,44.2,15.5,44978,21824
261,203,6,2769,68.45154097,0.154501667284,18.1,9975,40.9,16.4,45268,55535
