,icu_beds,commuting_in,commuting_out,commuting_within,density,percent_democrat,percent_in_poverty,pop_under18,pop_over65,median_age,percent_with_bachelors,median_income,pop_2019,cases_60days,cases_70days,cases_80days
204,141,18353,33214,225044,986.07766533,0.382830412803,12.1,129984,198022,48.1,27.8,56343,770577,1159.0,1384.0,1735.0
207,587,129438,204778,668801,1623.499921,0.6647197440079999,12.6,408805,303981,40.1,31.9,57200,1952778,5492.0,6133.0,6760.0
210,5,3654,5064,26068,32.726608698,0.559550661183,6.7,12118,5482,36.5,48.1,86896,55127,547.0,566.0,577.0
213,95,17830,17796,294394,338.71841276,0.33774694914700004,9.9,168985,83244,34.1,37.9,67923,720403,1028.0,1251.0,1535.0
216,19,24432,51176,61985,283.78298772,0.44717501369,6.3,46969,38737,42.6,41.4,83210,229863,371.0,423.0,463.0
219,0,911,1658,23764,11.482571274000001,0.242134062927,18.5,14408,13368,42.4,19.4,45374,68238,39.0,41.0,41.0
222,50,4806,4002,81318,79.383302602,0.419601306497,14.8,44616,45075,42.7,27.4,55511,220944,49.0,50.0,60.0
225,43,58826,74176,88226,445.46308918,0.446881372029,5.3,60925,50759,44.3,40.7,93645,309769,903.0,1095.0,1240.0
228,468,234558,139112,343934,1959.2565868,0.5578349649350001,10.5,221598,172382,40.3,43.2,66992,994205,3539.0,4106.0,4583.0
231,215,213123,148959,261962,1720.4403096,0.58729698308,5.9,178892,139629,41.3,48.7,90155,830915,4827.0,5797.0,6598.0
234,6,1288,2949,16359,20.865716698,0.392167557543,15.8,7810,6862,33.1,34.8,55624,47935,15.0,51.0,75.0
237,178,289947,278265,324518,2934.8116361,0.652997653162,6.1,270503,144212,37.9,61.1,122035,1147532,4834.0,7386.0,9839.0
240,10,4494,1709,14897,52.548430542,0.583603548486,11.4,6920,7906,47.0,35.7,52510,35470,53.0,60.0,62.0
243,24,5606,4495,57613,134.8010402,0.674965507619,11.3,22133,28064,46.7,33.4,58375,124944,461.0,495.0,537.0
246,22,18034,29040,99105,613.82863485,0.7504691257960001,12.2,53761,41001,37.4,40.0,84213,273213,138.0,149.0,200.0
249,351,104732,275801,622846,342.703209,0.496107441063,12.7,613808,328609,35.3,21.8,66793,2470546,4672.0,5618.0,7139.0
252,10,13802,13657,30551,73.62298192,0.38767766979,20.2,42814,20797,33.9,14.5,53632,157327,55.0,71.0,90.0
255,164,32321,31408,328935,167.6799017,0.494118211169,21.3,279979,114438,32.0,20.7,52318,999101,777.0,1192.0,1535.0
258,110,110002,89627,207529,1271.9107791,0.451555479298,5.5,145775,79578,37.5,55.3,87087,602401,521.0,648.0,765.0
261,82,119359,165900,235117,2174.1752753,0.509562221584,9.2,247451,83442,35.1,36.1,72008,936250,2222.0,2597.0,3307.0
264,119,133345,154218,206626,2237.0896015,0.488370953116,9.1,180207,85117,36.5,46.5,78603,760141,1998.0,2407.0,2854.0
267,148,18643,39807,156522,502.41804154,0.417945940132,13.2,94308,125506,46.5,23.6,50285,553284,526.0,591.0,680.0
270,57,19014,10334,81035,226.54514971,0.235562355326,12.7,44558,31003,36.8,30.6,62779,210738,161.0,176.0,193.0
273,51,9928,16049,39077,277.35736469,0.3469680138699999,11.1,22165,69046,58.6,23.2,52724,188910,294.0,370.0,430.0
279,281,85628,172968,548500,1619.4232899,0.442614907626,7.3,322908,239139,41.3,35.6,100075,1476601,35892.0,38117.0,39258.0
282,25,12261,27571,55761,157.94992078,0.518707703477,14.3,32420,33335,43.7,32.2,63073,177573,1416.0,1552.0,1645.0
285,32,2002,2827,35686,22.038774258000004,0.270516066212,15.0,21045,26671,47.0,17.2,47020,110980,24.0,25.0,25.0
288,68,33410,27187,107484,294.62141393,0.440444388289,14.5,84092,50268,36.4,22.8,56408,347818,613.0,827.0,920.0
291,97,79428,120448,104794,2697.8238848,0.595497596497,13.6,121021,70281,37.0,28.1,71959,501826,14133.0,15205.0,15873.0
294,25,19578,30997,20578,296.69689409,0.390330659504,3.8,27382,10962,37.5,48.1,104248,105089,58.0,113.0,185.0
297,169,63512,114917,280406,549.84556659,0.5174291024009999,9.0,176734,122402,40.1,35.9,71767,830622,7197.0,9252.0,10647.0
300,20,11747,22252,95235,687.05358709,0.510524762908,9.1,54365,44246,39.0,32.2,76530,271473,154.0,159.0,161.0
303,277,100530,24184,394448,1227.3643539999996,0.622670334869,21.7,236247,118566,35.4,31.1,47924,937166,3066.0,3726.0,4615.0
306,614,160867,59608,274809,1378.7692334,0.603060938509,15.4,145490,79891,34.3,40.3,60799,694144,3432.0,4132.0,5068.0
309,39,33712,27260,97703,395.89874684,0.330217810635,13.6,70456,47462,38.2,23.8,53567,319785,325.0,399.0,529.0
312,173,114321,99708,353280,1509.4086275,0.5818552740940001,10.0,216907,143419,40.3,47.4,91183,943332,12679.0,14248.0,15314.0
315,19,28274,56384,70291,584.36625333,0.352613021638,7.0,56648,38632,40.8,35.8,87959,255441,556.0,690.0,804.0
318,366,113202,30982,323606,2014.0227305,0.540918084461,15.4,172211,117584,38.1,32.7,55860,766757,1578.0,1922.0,2427.0
321,6,1274,3541,3644,61.635932237,0.261255466941,15.5,4277,3290,42.1,14.8,51709,18886,18.0,19.0,19.0
324,95,19830,10306,66966,246.56142631,0.6602853101,15.8,29611,15870,30.0,53.0,64387,151140,543.0,569.0,607.0
327,39,27824,45437,30601,418.56402865,0.300233862181,5.9,41179,20870,37.7,36.3,80834,170311,910.0,1050.0,1155.0
330,15,17233,61677,46339,614.54094882,0.227412587413,7.4,61214,31100,38.3,37.0,82733,258773,569.0,714.0,861.0
333,680,197691,63282,502361,2701.4936537,0.658357766233,17.9,264692,217416,40.3,31.9,50006,1235072,2668.0,3410.0,4211.0
336,80,114860,141927,119361,5413.6512622,0.662816509789,7.8,130363,76895,38.5,35.1,80737,556341,13917.0,14903.0,15475.0
339,152,79987,115632,184953,1321.6980276,0.43607171064,6.7,135336,103679,43.2,44.9,99223,618795,6752.0,7408.0,8012.0
342,105,130370,186657,146202,14555.938983000002,0.744594762318,14.3,137658,76628,35.1,40.9,73337,672391,16520.0,17574.0,18226.0
345,0,3335,14118,7989,74.481945647,0.3973635544600001,8.5,8703,5692,36.8,28.2,75421,42754,12.0,21.0,44.0
351,44,16986,28938,45602,279.9324603,0.48419871406,12.3,33787,27248,42.8,24.4,63318,170271,1198.0,1259.0,1311.0
354,195,139962,188848,249848,1229.7687086,0.392200143039,6.4,250994,98040,36.6,51.7,96936,1034730,889.0,1049.0,1236.0
357,127,148283,157731,149755,822.83599885,0.526755852843,8.1,153460,78627,36.5,42.2,76665,656590,3148.0,3767.0,4201.0
360,81,5957,4740,62873,47.697443513,0.282148468727,15.2,38673,35621,41.8,22.2,53908,180080,31.0,34.0,37.0
363,55,21060,28664,131908,137.49229240000003,0.475355472235,10.5,67812,49587,35.9,46.3,71306,356899,437.0,495.0,567.0
366,296,12374,13519,404526,113.97478676,0.542321530538,16.2,218448,190252,38.3,31.9,53395,1047279,1520.0,1825.0,2167.0
369,89,157790,280538,178243,1884.0230157,0.893292622141,8.3,203610,111152,36.8,32.7,82445,909327,8917.0,11629.0,15042.0
372,215,68478,75933,130310,1462.6262651,0.405429245595,15.6,95809,70261,39.2,26.1,50871,432493,6610.0,7059.0,7424.0
375,29,14359,20897,24991,98.058840781,0.363306967271,11.8,22149,15466,39.5,21.2,56337,93206,76.0,170.0,234.0
378,0,7064,9147,12379,116.20954268,0.231142687981,9.1,12008,7103,38.7,14.3,61341,47744,128.0,153.0,206.0
381,168,153183,186634,150749,2836.041489,0.8082272341660001,14.3,174266,85571,35.6,43.4,63477,759297,2445.0,2856.0,3635.0
384,37,22858,26597,22248,588.65191144,0.385099441933,5.0,26071,19089,43.5,46.5,95021,114421,190.0,210.0,231.0
387,65,11865,7241,31895,193.20052674,0.266481751825,20.7,22672,15636,38.5,20.4,44906,98498,155.0,187.0,258.0
390,165,183411,84388,301648,1885.5092324,0.7595943672050001,12.0,154507,100763,37.0,44.5,70756,812855,863.0,1005.0,1121.0
393,528,257222,152389,473736,11796.782748,0.8240513828470001,24.3,346267,207563,34.3,28.6,46149,1584064,17881.0,20129.0,22405.0
396,586,236937,177211,503375,2859.4342735,0.667795473596,21.7,420346,258954,37.9,23.3,46440,1749343,17960.0,19292.0,20227.0
399,35,49427,108166,70006,845.85743528,0.410133417353,5.6,83783,45250,38.4,29.7,82284,356921,518.0,919.0,1324.0
402,82,81719,98526,121868,557.17907045,0.555731634767,6.2,94955,72612,41.5,37.5,84470,445349,3531.0,4000.0,4519.0
405,33,66466,94986,88973,801.79464032,0.554234044324,3.6,110986,33265,36.0,60.8,140382,413538,1127.0,1527.0,2429.0
408,18,12078,10286,40913,74.675423726,0.475570389014,9.7,27526,24374,41.5,26.3,70955,129205,397.0,426.0,430.0
411,24,4827,8039,88867,108.75731788,0.5488851722829999,14.9,42957,35496,37.0,33.9,62262,229247,330.0,359.0,383.0
414,409,260568,182537,411569,1450.2364112,0.5171103120220001,8.2,269153,198882,40.9,46.4,80319,1257584,7692.0,8078.0,8311.0
417,64,26163,33475,75108,451.5456437,0.272396901204,9.4,71269,27885,32.5,23.8,68106,260213,175.0,224.0,280.0
420,6,982,939,8162,14.660260714000001,0.282339043119,12.9,4869,3041,37.3,20.1,49712,18453,21.0,43.0,222.0
423,0,595,276,3510,8.4666060845,0.27235653947,20.9,2767,1698,35.9,17.5,47412,9292,5.0,10.0,16.0
426,8,2388,1083,9061,45.393685401999996,0.296151911469,12.0,4517,3525,38.8,23.9,51724,19775,7.0,9.0,14.0
429,54,27019,9996,87284,239.37250132,0.3911171307,9.6,47291,23211,34.7,31.9,60033,193134,2767.0,3165.0,3330.0
432,103,28710,19625,45185,383.02309985,0.198964249916,16.5,30748,33114,44.9,22.8,46024,158348,54.0,57.0,60.0
435,614,520617,200152,972140,3021.0825913000012,0.611264385885,14.2,687769,263792,33.3,30.7,59838,2635516,5619.0,7904.0,9787.0
438,97,50804,99131,127445,582.74698473,0.225247805085,9.3,147644,69473,36.9,34.7,77598,607391,699.0,848.0,954.0
441,409,196723,204110,707436,2434.4302532,0.434500748304,12.1,540281,216591,34.3,31.5,66059,2102515,3210.0,4643.0,5379.0
444,139,43603,87247,302890,459.16825553,0.553749663019,9.1,199599,123435,37.9,33.1,84170,846006,666.0,850.0,1083.0
447,0,1083,337,8517,5.390934306799999,0.54500483923,10.4,2929,2044,34.5,55.3,61268,17462,173.0,179.0,179.0
450,210,23134,7691,106996,307.28851819,0.589625040093,19.8,47370,34804,31.3,42.5,51026,269043,308.0,339.0,378.0
453,73,23366,14503,123480,192.74608394,0.35741473857100003,10.6,64368,112279,50.3,36.2,70649,384902,734.0,1030.0,1454.0
456,121,45166,74539,196956,547.38885704,0.53880957953,14.3,201506,89461,34.1,18.4,63567,762148,605.0,709.0,858.0
459,111,93799,42962,124891,2302.6374138,0.8080775756399999,23.8,78740,52536,36.3,36.8,38855,390144,6674.0,6869.0,7067.0
462,98,81347,137692,239294,1602.0491904,0.58496038709,10.7,169097,127337,40.8,39.4,76373,789034,11211.0,12748.0,13994.0
465,8,11381,17626,12310,160.41872841,0.317550918561,5.4,17260,8129,38.0,48.3,85876,67843,233.0,280.0,327.0
468,4,4048,4624,10067,105.55976829,0.214893780198,11.6,11014,5251,33.4,15.3,56693,35777,8.0,10.0,13.0
471,103,84946,115998,134506,1025.1137169,0.513638242894,8.6,139745,67018,37.0,33.1,79834,532403,2818.0,4682.0,6235.0
474,0,3967,15098,16062,136.62350377,0.23312632958700005,10.4,16160,16835,45.0,28.2,66898,88625,60.0,66.0,74.0
477,33,29243,77129,77236,510.07020571,0.426893574512,5.9,74431,41446,40.2,33.7,86268,307774,936.0,1224.0,1514.0
480,166,26165,85479,99664,741.97917716,0.37372411903,12.6,104180,114764,44.6,23.4,53788,553947,293.0,327.0,377.0
483,279,69317,57420,359649,3561.2781285,0.4747049967450001,11.7,159317,228495,47.8,31.0,52226,974996,848.0,1062.0,1238.0
486,0,506,2394,2217,17.167318689000002,0.250499001996,25.6,2475,1927,41.7,10.5,40499,13392,17.0,29.0,32.0
489,36,4425,4390,68435,65.512630726,0.444029850746,9.4,37537,34502,42.3,34.2,67372,197692,86.0,116.0,124.0
492,19,4686,2492,35907,33.603256116,0.21562860653,10.8,16262,8276,31.4,28.3,63938,67641,27.0,29.0,37.0
495,128,34866,41942,130386,644.18021868,0.389663365873,14.4,81165,69336,41.9,22.8,52310,370606,500.0,620.0,723.0
498,0,6781,18564,13400,116.18606273,0.425087766676,12.7,18830,13995,37.1,30.1,62389,86085,84.0,94.0,98.0
501,3,4232,5376,26015,24.242337186,0.285878388727,15.8,19690,11454,36.3,16.2,53917,77950,85.0,105.0,116.0
504,90,84117,137230,177479,1039.4906596,0.484163912988,5.7,130567,110321,43.8,40.5,88538,628270,3966.0,4662.0,5050.0
507,11,11039,15413,32608,56.72720331,0.318982530517,12.7,28162,22051,39.7,19.5,54292,129749,102.0,110.0,115.0
510,48,19347,10322,22139,160.7087323,0.413099252309,24.0,17509,9784,32.4,27.6,39061,74897,314.0,438.0,553.0
513,185,164948,181765,212671,2668.2428893,0.583323899416,8.2,181137,117814,38.4,42.7,87666,825062,13937.0,14954.0,15824.0
516,138,49381,20496,285122,584.81475658,0.526048595388,16.5,151579,103210,37.3,33.9,51372,679121,1073.0,1254.0,1464.0
519,22,13493,11301,58308,78.70588876800001,0.712822122656,12.2,28007,32763,45.8,40.9,60187,150358,111.0,127.0,140.0
522,0,661,794,4761,2.5031646355,0.484754292481,29.6,3923,3142,39.2,21.2,33989,16637,48.0,49.0,50.0
525,191,53539,21639,331559,1129.2528105,0.543668245024,14.4,157373,121631,38.9,37.7,60240,741770,1822.0,2466.0,2910.0
528,6,2422,11342,23694,408.32643903,0.48947554508,7.5,15070,19138,44.2,33.0,65987,85141,179.0,181.0,180.0
531,32,143245,95316,46784,9110.2137123,0.769866939268,6.3,40777,23483,34.5,74.6,120950,236842,1368.0,1728.0,2107.0
534,218,21652,5849,72977,242.17997944,0.457459288318,7.1,37786,22399,37.2,44.0,76001,158293,368.0,488.0,608.0
537,72,20262,33437,87085,402.13160725,0.531598269842,8.7,59802,44614,39.0,35.7,72400,290536,123.0,127.0,148.0
540,15,11107,15246,36669,143.7019072,0.340372646495,9.5,22235,17808,41.5,22.7,59428,103403,93.0,148.0,203.0
543,64,102388,75613,130178,735.27858448,0.339516360659,5.0,87575,69991,43.2,43.8,87333,404198,400.0,514.0,690.0
